text,labels,id
내가 가장 좋아하는 음식은 내가 직접 요리할 필요가 없는 음식입니다.,[27],eebbqej
이제 그가 스스로 행동하면 모든 사람들은 그가 실제로 죽은 것이 아니라 사람들과 함께 웃고 있다고 생각할 것입니다,[27],ed00q6i
도대체 왜 베이리스 아이소잉인가,[2],eezlygj
그녀가 위협을 느끼게 하기 위해,[14],ed7ypvh
더티 서던 방커스,[3],ed0bdzj
OmG pEyToN iSn'T gOoD eNoUgH tO hElP uS iN tHe PlAyOfFs! 2015 년 12 월경 Bumbass Broncos 팬.,[26],edvnz26
"예, f 폭탄을 들었습니다! 그것이 이유여야 합니다. 답장을 보내 주셔서 감사합니다 :) 그때까지 남편과 나는 초조하게 기다릴 😝 것이다",[15],ee3b6wu
더 많은 보드가 필요하고 [NAME]을 위한 공간을 조금 더 만들어야 합니다. 그러면 우리는 잘될 것입니다.,"[8, 20]",ef4qmod
빌어먹을 유튜브와 분노 드라마는 레딧에게 매우 유리합니다.,[0],ed8wbdn
친구의 신뢰 요소와 연결될 수 있습니다.,[27],eczgv1o
